
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
RC0805FR-0710KL                  R223                              10   1      2   2   1 2           2 0 FA01                (729-9-13)
RC0805FR-0710KL                  R225                              11   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0710KL                  R225                              11   1      2   2   1 2           2 0 FA02                (729-10-13)
RC0805FR-0710KL                  R232                               4   1      1   1   1 1           1 0 XSIG011459          (729-93-13)
RC0805FR-0710KL                  R232                               4   1      2   2   1 2           2 0 GS                  (1110-1-13)
RC0805FR-0710KL                  R233                               5   1      1   1   1 1           1 0 GS                  (1110-1-13)
RC0805FR-0710KL                  R233                               5   1      2   2   1 2           2 0 GND                 (729-26-13)
RC0805FR-0715KL                  R105                             137   1      1   1   1 1           1 0 XSIG010920_2        (729-103-13)
RC0805FR-0715KL                  R105                             137   1      2   2   1 2           2 0 +12V                (729-74-13)
RC0805FR-0715KL                  R201                             138   1      1   1   1 1           1 0 XSIG011282          (729-72-13)
RC0805FR-0715KL                  R201                             138   1      2   2   1 2           2 0 XSIG011268          (729-69-13)
RC0805FR-0718KL                  R109                             125   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0718KL                  R109                             125   1      2   2   1 2           2 0 XSIG010980          (729-109-13)
RC0805FR-0730KL                  R206                             151   1      1   1   1 1           1 0 CL_VHI              (1172-1-13)
RC0805FR-0730KL                  R206                             151   1      2   2   1 2           2 0 +12V                (729-74-13)
RC0805FR-0730KL                  R209                             150   1      1   1   1 1           1 0 CL_PWR              (729-13-13)
RC0805FR-0730KL                  R209                             150   1      2   2   1 2           2 0 +                   (1211-1-13)
RC0805FR-0730KL                  R212                             148   1      1   1   1 1           1 0 GK01                (729-15-13)
RC0805FR-0730KL                  R212                             148   1      2   2   1 2           2 0 XSIG011615          (1226-5-13)
RC0805FR-0730KL                  R215                             149   1      1   1   1 1           1 0 GK02                (729-16-13)
RC0805FR-0730KL                  R215                             149   1      2   2   1 2           2 0 XSIG011613          (1226-4-13)
RC0805FR-0730KL                  R222                             144   1      1   1   1 1           1 0 FA01                (729-9-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
RC0805FR-0730KL                  R222                             144   1      2   2   1 2           2 0 XSIG011610          (1226-2-13)
RC0805FR-0730KL                  R226                             146   1      1   1   1 1           1 0 FA02                (729-10-13)
RC0805FR-0730KL                  R226                             146   1      2   2   1 2           2 0 XSIG011612          (1226-3-13)
RC0805FR-0730KL                  R236                             147   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0730KL                  R236                             147   1      2   2   1 2           2 0 W01                 (729-7-13)
RC0805FR-0730KL                  R239                             145   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-0730KL                  R239                             145   1      2   2   1 2           2 0 W02                 (729-8-13)
RC0805FR-07100KL                 R006                              99   1      1   1   1 1           1 0 XSIG011323          (820-4-13)
RC0805FR-07100KL                 R006                              99   1      2   2   1 2           2 0 GND                 (729-26-13)
RC0805FR-07100KL                 R104                              98   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R104                              98   1      2   2   1 2           2 0 XSIG010913          (729-101-13)
RC0805FR-07100KL                 R108                             102   1      1   1   1 1           1 0 XSIG010980          (729-109-13)
RC0805FR-07100KL                 R108                             102   1      2   2   1 2           2 0 +5V                 (729-95-13)
RC0805FR-07100KL                 R204                             103   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R204                             103   1      2   2   1 2           2 0 XSIG011284          (729-73-13)
RC0805FR-07100KL                 R217                             108   1      1   1   1 1           1 0 XSIG011248          (729-67-13)
RC0805FR-07100KL                 R217                             108   1      2   2   1 2           2 0 +                   (1211-1-13)
RC0805FR-07100KL                 R219                             109   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R219                             109   1      2   2   1 2           2 0 XSIG011266          (729-68-13)
RC0805FR-07100KL                 R228                             101   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R228                             101   1      2   2   1 2           2 0 XSIG011469          (729-96-13)
RC0805FR-07100KL                 R230                             100   1      1   1   1 1           1 0 XSIG011539          (820-10-13)
RC0805FR-07100KL                 R230                             100   1      2   2   1 2           2 0 XSIG011545          (820-11-13)
RC0805FR-07100KL                 R234                             107   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R234                             107   1      2   2   1 2           2 0 XSIG011596          (1216-1-13)
